latitude,longitude,RSRP,RSRQ,SINR,ServingCell,azimuth,tx_power,height,band,earfcn,reference_signal_power,PCI,Mtilt,Etilt,Network
28.641226,77.360107,-74.79590068,-9.433440449,0,Unknown,0,,24,38,38750,18.7,210,,,IND-JIO
28.641026,77.360107,-75.48761105,-9.426797834,0,Unknown,0,,24,38,38750,18.7,210,,,IND-JIO
28.641226,77.359707,-75.63848699,-9.558065307,0,Unknown,0,,24,38,38750,18.7,210,,,IND-JIO
28.641226,77.359907,-75.6390996,-9.39670167,0,Unknown,0,,24,38,38750,18.7,210,,,IND-JIO
28.641026,77.359707,-75.83544439,-9.54639864,0,Unknown,0,,24,38,38750,18.7,210,,,IND-JIO
28.641226,77.360307,-76.29491199,-10.18497343,0,Unknown,0,,24,38,38750,18.7,210,,,IND-JIO
28.641026,77.359907,-76.47177772,-9.410565307,0,Unknown,0,,24,38,38750,18.7,210,,,IND-JIO
28.641026,77.360307,-76.77418534,-10.20097343,0,Unknown,0,,24,38,38750,18.7,210,,,IND-JIO
28.641826,77.365507,-76.97394,-9.629874,10.98372222,Unknown,115,,24,1,315,18.7,162,,,airtel
28.641026,77.360507,-77.22867019,-10.10830676,0,Unknown,0,,24,1,2525,18.7,375,,,IND-JIO
28.641226,77.360507,-77.28553278,-9.948820283,0,Unknown,0,,24,1,2525,18.7,375,,,IND-JIO
28.645826,77.365707,-77.97113,-10.024048,8.588490362,Unknown,245,,24,40,39150,18.7,95,,,airtel
28.641626,77.365507,-78.27331,-8.931285,13.17972222,Unknown,115,,24,1,315,18.7,162,,,airtel
28.641426,77.365507,-78.51268,-9.875848,10.73255556,Unknown,115,,24,1,315,18.7,162,,,airtel
28.646226,77.361107,-79.2749,-10.8041725,8.148473051,Unknown,0,,24,40,39150,18.7,363,,,airtel
28.641026,77.360707,-79.29689247,-10.21287339,0,Unknown,0,,24,1,2525,18.7,375,,,IND-JIO
28.646226,77.361307,-79.42673,-10.415607,9.323934649,Unknown,0,,24,40,39150,18.7,363,,,airtel
28.641026,77.360107,-79.583565,-10.707753,7.164878362,Unknown,0,,24,40,39150,18.7,187,,,airtel
28.645626,77.365707,-79.6928,-10.367736,8.813323695,Unknown,245,,24,40,39150,18.7,95,,,airtel
28.641426,77.361107,-79.81645604,-10.71327569,0,Unknown,0,,24,1,2525,18.7,375,,,IND-JIO
28.645026,77.365707,-79.88594,-10.090081,8.94286599,Unknown,0,,24,1,315,18.7,95,,,airtel
28.641026,77.359907,-80.06264,-10.647126,7.789306628,Unknown,0,,24,40,39150,18.7,187,,,airtel
28.646426,77.361107,-80.07753,-10.585354,8.338582903,Unknown,0,,24,40,39150,18.7,363,,,airtel
28.642026,77.365507,-80.32138,-9.299597,9.885805556,Unknown,115,,24,1,315,18.7,162,,,airtel
28.646426,77.361307,-80.36297,-11.383292,7.264188312,Unknown,0,,24,40,39150,18.7,363,,,airtel
28.641826,77.363107,-80.416504,-8.701207,9.778055804,Unknown,335,,24,1,315,18.7,372,,,airtel
28.646426,77.361507,-80.47345,-10.261405,7.598865079,Unknown,0,,24,40,39150,18.7,363,,,airtel
28.646626,77.361507,-80.66506,-10.324949,6.360142857,Unknown,0,,24,40,39150,18.7,363,,,airtel
28.646826,77.360907,-80.729744,-11.02001,2.876945274,Unknown,0,,24,40,39150,18.7,363,,,airtel
28.646626,77.361307,-80.76048,-11.446801,5.592521645,Unknown,0,,24,40,39150,18.7,363,,,airtel
28.646626,77.361107,-80.87033,-10.876059,5.992951823,Unknown,0,,24,40,39150,18.7,363,,,airtel
28.641026,77.359707,-80.92409,-11.571998,8.121476032,Unknown,0,,24,40,39150,18.7,187,,,airtel
28.646826,77.361307,-80.977356,-12.218018,3.836301865,Unknown,0,,24,40,39150,18.7,363,,,airtel
